timestamp,raw_gaze_position_x,raw_gaze_position_y,calibrated_gaze_position_x,calibrated_gaze_position_y,filtered_gaze_position_x,filtered_gaze_position_y,left_eye_openness,right_eye_openness,tracking_status,status,event,trigger
1754977399181393600,-2.0754456520080566,-9.382002830505371,475.8917999267578,475.5240511894226,475.8917999267578,475.5240511894226,104.5,64.5,1,1,0,0
1754977399204121500,-1.9434128999710083,-9.728119850158691,486.3159370422363,428.66525888442993,486.3159370422363,428.66525888442993,99.0,79.5,1,1,0,0
1754977399227936100,-1.8040173053741455,-10.285184860229492,451.4909362792969,365.9975802898407,451.4909362792969,365.9975802898407,101.0,66.0,1,1,0,0
1754977399254257200,-2.0758328437805176,-9.645331382751465,504.44469451904297,434.2180109024048,504.44469451904297,434.2180109024048,108.5,63.0,1,1,0,0
1754977399284099700,-2.103785276412964,-9.74385929107666,471.0815620422363,419.81075048446655,471.0815620422363,419.81075048446655,103.5,67.5,1,1,0,0
1754977399332651000,-1.7851861715316772,-8.817763328552246,679.2277908325195,467.6406419277191,679.2277908325195,467.6406419277191,101.0,63.0,1,1,0,0
1754977399354766900,-1.647585153579712,-8.74809455871582,727.412223815918,483.22637915611267,486.3159370422363,475.5240511894226,103.0,67.5,1,1,0,0
1754977399386062200,-1.7992702722549438,-4.983304500579834,959.758415222168,541.6136384010315,486.3159370422363,467.6406419277191,107.5,80.0,1,1,0,0
1754977399412359800,-2.0014050006866455,-5.94520902633667,858.5383987426758,511.14251017570496,679.2277908325195,475.5240511894226,115.5,70.0,1,1,0,0
1754977399444384400,-1.8447315692901611,-5.312202453613281,942.4142646789551,537.902501821518,727.412223815918,483.22637915611267,102.5,76.0,1,1,0,0
1754977399492621400,-1.9802929162979126,-5.423763751983643,889.112548828125,514.0992271900177,858.5383987426758,511.14251017570496,112.5,70.5,1,1,0,0
1754977399516338700,-1.6008358001708984,-5.632086753845215,954.2197608947754,544.3444061279297,858.5383987426758,511.14251017570496,113.5,75.5,1,1,0,0
1754977399537480400,-1.6885606050491333,-4.196372032165527,563.774585723877,327.5858473777771,727.412223815918,483.22637915611267,114.5,68.0,1,1,0,0
1754977399572140200,-0.62530118227005,-3.4269919395446777,142.2580862045288,97.35092639923096,858.5383987426758,511.14251017570496,110.0,65.0,1,1,0,0
1754977399604236700,-0.5196479558944702,-3.4103007316589355,126.07749938964844,87.55173593759537,727.412223815918,483.22637915611267,111.5,80.5,1,1,0,0
1754977399652963700,-0.5708959698677063,-3.1785221099853516,138.42141151428223,97.26885080337524,563.774585723877,327.5858473777771,113.0,78.0,1,1,0,0
1754977399684704000,-0.6092923879623413,-2.736332654953003,144.4183588027954,125.42778879404068,144.4183588027954,125.42778879404068,113.0,75.5,1,1,0,0
1754977399733104100,-0.6079762578010559,-3.5290191173553467,138.79902362823486,90.54034978151321,144.4183588027954,125.42778879404068,113.0,80.5,1,1,0,0
1754977399754773800,-0.5670177936553955,-3.4299235343933105,129.9880027770996,88.53048741817474,144.4183588027954,125.42778879404068,127.0,80.0,1,1,0,0
1754977399785218000,-0.6806250214576721,-3.176206588745117,148.2773208618164,102.64593690633774,144.4183588027954,125.42778879404068,116.5,64.5,1,1,0,0
1754977399812134800,-0.6429847478866577,-2.954770565032959,154.14276123046875,109.15165096521378,144.4183588027954,109.15165096521378,120.0,69.0,1,1,0,0
1754977399845051500,-0.22816963493824005,-2.2509732246398926,153.51595401763916,176.8328046798706,144.4183588027954,125.42778879404068,110.0,68.5,1,1,0,0
1754977399892136900,-0.32153141498565674,-2.3237171173095703,132.0054531097412,148.17804157733917,144.4183588027954,125.42778879404068,108.0,74.5,1,1,0,0
